,test_id,gene_id,gene,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant,Transcript length (including UTRs and CDS),m6a_sites,m6a_ratio,SG_transcripts_per_cell,transcript_per_cell,fraction_molecules_in_SGs
1049,ENST00000258534,ENSG00000136048.13,DRAM1,SG,TOT,OK,4.49395,3.45464,0.379447,-1.5453,0.0071,0.0474703,yes,3279.0,3.0,0.425655881,0.4126675849403122,2.7031611893583722,0.15266110898783058
1050,ENST00000258607,ENSG00000136108.14,CKAP2,SG,TOT,OK,12.24,12.0118,0.0271527,-0.0694822,0.90115,0.941162,no,3614.0,2.0,0.52991889,1.1239669421487604,9.398904538341156,0.11958488753276911
1051,ENST00000258662,ENSG00000136159.3,NUDT15,SG,TOT,OK,7.851139999999999,11.319,-0.5277729999999999,1.79541,0.0018,0.014359100000000001,yes,1938.0,2.0,0.148760816,0.7209494949494948,8.85680751173709,0.08140060557871316
1052,ENST00000258733,ENSG00000136235.16,GPNMB,SG,TOT,OK,3.4514699999999996,3.70839,-0.10357999999999999,0.321209,0.57595,0.7589779999999999,no,2650.0,0.0,0.264275131,0.3169393939393939,2.9017136150234744,0.10922490500043021
1053,ENST00000258739,ENSG00000136240.9,KDELR2,SG,TOT,OK,39.9411,111.48899999999999,-1.48096,5.24865,5e-05,0.000542289,yes,2786.0,2.0,0.188717038,3.667685950413223,87.23708920187792,0.042042736454969545
1054,ENST00000258742,ENSG00000136243.16,NUPL2,SG,TOT,OK,3.4761,4.17161,-0.26313400000000003,0.690293,0.22745,0.5031140000000001,no,1571.0,0.0,0.499795828,0.31920110192837464,3.264170579029734,0.09778934470491316
1055,ENST00000258761,ENSG00000136261.14,BZW2,SG,TOT,OK,24.8494,41.1913,-0.7291270000000001,2.0194099999999997,0.0007,0.00619438,yes,1804.0,1.0,0.046384726,2.2818549127640035,32.2310641627543,0.07079675995932143
1056,ENST00000258770,ENSG00000136270.13,TBRG4,SG,TOT,OK,28.2182,43.7517,-0.632709,2.3776,5e-05,0.000542289,yes,2226.0,2.0,0.254231296,2.5912029384756656,34.23450704225352,0.07568979846204607
1057,ENST00000258781,ENSG00000136280.16,CCM2,SG,TOT,OK,15.4289,10.9942,0.488885,-1.42298,0.01835,0.105333,no,1864.0,4.0,0.578624501,1.416795224977043,8.602660406885759,0.16469268318937813
1058,ENST00000258796,ENSG00000136295.14,TTYH3,SG,TOT,OK,96.7887,63.0998,0.617203,-2.74055,5e-05,0.000542289,yes,4805.0,3.0,0.491541083,8.887851239669422,49.37386541471049,0.18001125018300407
1059,ENST00000258874,ENSG00000136371.10,MTHFS,SG,TOT,OK,4.20675,13.0434,-1.6325399999999999,3.82879,5e-05,0.000542289,yes,2301.0,0.0,0.212817654,0.3862947658402204,10.206103286384977,0.037849388253354314
1060,ENST00000258884,ENSG00000136379.11,ABHD17C,SG,TOT,OK,5.8383400000000005,2.5432799999999998,1.19887,-3.0152099999999997,5e-05,0.000542289,yes,2361.0,1.0,0.437322001,0.5361193755739211,1.9900469483568073,0.2694003656630301
1061,ENST00000258930,ENSG00000136425.13,CIB2,SG,TOT,OK,1.85529,5.01598,-1.43488,1.38832,0.045,0.215308,no,1499.0,0.0,0.093170128,0.170366391184573,3.924866979655712,0.04340692106704658
1062,ENST00000258955,ENSG00000136444.9,RSAD1,SG,TOT,OK,12.8861,14.4633,-0.16658,0.74387,0.19405,0.47677299999999995,no,2467.0,3.0,0.808452306,1.1832966023875116,11.317136150234742,0.10455795412189747
1063,ENST00000258962,ENSG00000136450.12,SRSF1,SG,TOT,OK,57.665,121.43700000000001,-1.07444,2.80566,5e-05,0.000542289,yes,5343.0,1.0,0.173116342,5.2952249770431585,95.02112676056339,0.05572681736753342
1064,ENST00000258975,ENSG00000136463.7,TACO1,SG,TOT,OK,14.5579,19.8625,-0.44823900000000005,1.9787299999999999,0.00055,0.00498368,yes,1446.0,1.0,0.681948121,1.336813590449954,15.54186228482003,0.08601373284304803
1065,ENST00000259008,ENSG00000136492.8,BRIP1,SG,TOT,OK,14.4431,10.7563,0.42519799999999996,-1.80105,0.00205,0.0161168,yes,8182.0,1.0,0.474318047,1.3262718089990817,8.416510172143974,0.15757977853916555
1066,ENST00000259037,ENSG00000136521.12,NDUFB5,SG,TOT,OK,4.52238,34.4376,-2.92883,6.19117,5e-05,0.000542289,yes,4199.0,2.0,0.020796867,0.41527823691460053,26.94647887323944,0.015411224556207734
1067,ENST00000259119,ENSG00000136603.13,SKIL,SG,TOT,OK,48.1284,19.0041,1.3405799999999999,-3.75337,5e-05,0.000542289,yes,7155.0,4.0,0.543722282,4.419504132231404,14.870187793427231,0.29720567040752965
1068,ENST00000259154,ENSG00000136636.12,KCTD3,SG,TOT,OK,18.3834,14.4229,0.350048,-1.6505,0.00375,0.0273375,yes,4019.0,5.0,0.37644404,1.6880991735537192,11.285524256651017,0.14958092642961215
1069,ENST00000259229,ENSG00000136710.9,CCDC115,SG,TOT,OK,2.48177,4.73476,-0.9319209999999999,0.9328690000000001,0.11805,0.40078400000000003,no,1769.0,1.0,0.093666247,0.22789439853076215,3.704820031298904,0.06151294708122779
1070,ENST00000259241,ENSG00000136720.6,HS6ST1,SG,TOT,OK,20.3458,6.7701199999999995,1.58748,-7.36338,5e-05,0.000542289,yes,4223.0,1.0,0.860083544,1.8683011937557392,5.2974334898278554,0.3526804437173691
1071,ENST00000259339,ENSG00000136816.15,TOR1B,SG,TOT,OK,17.1021,10.9913,0.6378159999999999,-2.80329,5e-05,0.000542289,yes,2738.0,2.0,0.70089989,1.5704407713498623,8.600391236306729,0.18260108502043654
1072,ENST00000259392,ENSG00000136867.10,SLC31A2,SG,TOT,OK,0.902702,2.33766,-1.37274,1.23539,0.0555,0.251843,no,1723.0,0.0,0.65598773,0.08289274563820018,1.8291549295774647,0.0453175093579134
1073,ENST00000259400,ENSG00000136874.10,STX17,SG,TOT,OK,4.93295,4.3516699999999995,0.180882,-0.667324,0.2443,0.513662,no,6885.0,1.0,0.318481771,0.4529797979797979,3.405062597809076,0.13303126887337088
1074,ENST00000259457,ENSG00000136930.12,PSMB7,SG,TOT,OK,34.4765,105.50399999999999,-1.61361,7.2347,5e-05,0.000542289,yes,984.0,0.0,0.143254153,3.1658861340679523,82.55399061032863,0.038349280400163444
1075,ENST00000259467,ENSG00000136940.13,PDCL,SG,TOT,OK,11.272,8.81547,0.354636,-1.5760100000000001,0.0057,0.039315499999999996,yes,3017.0,0.0,0.670988422,1.0350780532598713,6.897863849765257,0.15005776799945048
1076,ENST00000259470,ENSG00000136943.10,CTSV,SG,TOT,OK,3.34405,6.48265,-0.954989,3.29549,5e-05,0.000542289,yes,4359.0,0.0,0.597457478,0.30707529843893483,5.0724960876369325,0.06053731597494215
1077,ENST00000259477,ENSG00000136950.13,ARPC5L,SG,TOT,OK,10.5462,17.7718,-0.7528590000000001,2.70757,5e-05,0.000542289,yes,1325.0,0.0,0.671950451,0.9684297520661157,13.905946791862284,0.06964141072600952
1078,ENST00000259526,ENSG00000136999.4,NOV,SG,TOT,OK,9.60013,6.53409,0.555067,-2.3559400000000004,5e-05,0.000542289,yes,2463.0,0.0,0.218322828,0.88155463728191,5.112746478873239,0.17242291221061862
1079,ENST00000259569,ENSG00000137040.9,RANBP6,SG,TOT,OK,9.73391,7.438280000000001,0.38805,-1.77547,0.00145,0.0118372,yes,4600.0,4.0,0.810971383,0.8938393021120293,5.820250391236307,0.15357402895550765
1080,ENST00000259632,ENSG00000137100.15,DCTN3,SG,TOT,OK,11.8636,33.8371,-1.51206,5.69764,5e-05,0.000542289,yes,828.0,1.0,0.053955617,1.0894031221303948,26.47660406885759,0.04114587804754676
1081,ENST00000259667,ENSG00000137133.10,HINT2,SG,TOT,OK,5.05828,20.2362,-2.00022,4.79546,5e-05,0.000542289,yes,649.0,0.0,0.236092382,0.46448852157943066,15.834272300469483,0.029334377530292863
1082,ENST00000259808,ENSG00000137275.13,RIPK1,SG,TOT,OK,6.11266,4.26591,0.518946,-1.26206,0.02805,0.14861300000000002,no,4092.0,4.0,0.778593995,0.561309458218549,3.3379577464788732,0.16815954570145777
1083,ENST00000259818,ENSG00000137285.9,TUBB2B,SG,TOT,OK,10.612,24.8036,-1.22486,4.4826,5e-05,0.000542289,yes,1922.0,1.0,0.277351869,0.9744719926538108,19.40813771517997,0.05020945373298917
1084,ENST00000259883,ENSG00000137338.5,PGBD1,SG,TOT,OK,8.80893,4.433669999999999,0.990466,-3.4996300000000002,5e-05,0.000542289,yes,3100.0,2.0,0.726880411,0.8089008264462809,3.4692253521126757,0.23316468212527028
1085,ENST00000259963,ENSG00000137414.5,FAM8A1,SG,TOT,OK,1.7651700000000001,1.7670599999999999,-0.00154444,0.005964,0.99505,0.9956659999999999,no,4726.0,1.0,0.15934944,0.1620909090909091,1.382676056338028,0.11722985174141333
1086,ENST00000260045,ENSG00000137492.7,THAP12,SG,TOT,OK,72.578,30.4787,1.25173,-5.91605,5e-05,0.000542289,yes,3490.0,0.0,,6.664646464646465,23.848748043818468,0.2794547727369665
1087,ENST00000260102,ENSG00000137547.8,MRPL15,SG,TOT,OK,13.9664,32.1833,-1.20435,4.045640000000001,5e-05,0.000542289,yes,1729.0,0.0,0.253010022,1.282497704315886,25.182550860719875,0.05092802994458935
1088,ENST00000260116,ENSG00000137561.4,TTPA,SG,TOT,OK,0.747142,1.0307899999999999,-0.464291,1.26987,0.0266,0.14218699999999998,no,2633.0,0.0,0.089116466,0.0686080808080808,0.8065649452269169,0.08506206625280346
1089,ENST00000260118,ENSG00000137563.11,GGH,SG,TOT,OK,6.9544,29.3022,-2.07501,8.278089999999999,5e-05,0.000542289,yes,1248.0,1.0,0.045088122,0.6386042240587695,22.928169014084506,0.02785238645381942
1090,ENST00000260129,ENSG00000137574.10,TGS1,SG,TOT,OK,19.5751,12.9032,0.601287,-2.4746900000000003,5e-05,0.000542289,yes,4477.0,1.0,0.613798004,1.7975298438934801,10.09640062597809,0.17803669946182868
1091,ENST00000260130,ENSG00000137575.11,SDCBP,SG,TOT,OK,5.80814,6.4539800000000005,-0.152114,0.209919,0.66825,0.815658,no,2073.0,1.0,0.104307556,0.5333461891643709,5.050062597809077,0.105611797643015
1092,ENST00000260210,ENSG00000137656.11,BUD13,SG,TOT,OK,16.8151,10.6982,0.652389,-2.77442,5e-05,0.000542289,yes,2192.0,1.0,0.592750157,1.5440863177226813,8.371048513302034,0.18445554523654323
1093,ENST00000260247,ENSG00000137692.11,DCUN1D5,SG,TOT,OK,13.9968,29.5139,-1.0763,4.47626,5e-05,0.000542289,yes,12675.0,1.0,0.119111278,1.285289256198347,23.093818466353678,0.055655120787882574
1094,ENST00000260257,ENSG00000255561.6,FDXACB1,SG,TOT,OK,2.01585,1.5485799999999998,0.380442,-0.48003999999999997,0.3836,0.624758,no,2774.0,0.0,,0.18511019283746555,1.2117214397496086,0.15276629327918545
1095,ENST00000260270,ENSG00000137714.2,FDX1,SG,TOT,OK,2.23358,4.82319,-1.11063,4.39776,5e-05,0.000542289,yes,3144.0,0.0,0.129902263,0.2051037649219467,3.7740140845070425,0.05434631676758491
1096,ENST00000260356,ENSG00000137801.10,THBS1,SG,TOT,HIDATA,0.0,366.347,-0.0,0.0,1.0,1.0,no,7789.0,2.0,0.590402394,0.0,286.6564945226917,0.0
1097,ENST00000260361,ENSG00000137806.8,NDUFAF1,SG,TOT,OK,1.37103,5.17322,-1.9158,4.8580000000000005,5e-05,0.000542289,yes,1509.0,2.0,0.453921896,0.12589807162534433,4.047902973395931,0.031102047764678495
1098,ENST00000260382,ENSG00000137821.11,LRRC49,SG,TOT,OK,2.25888,3.247,-0.523497,0.799995,0.16245,0.44610900000000003,no,6176.0,0.0,0.068901969,0.20742699724517905,2.540688575899843,0.08164203956862916
1099,ENST00000260383,ENSG00000137822.12,TUBGCP4,SG,TOT,OK,4.31225,5.99191,-0.474574,0.45641499999999996,0.3686,0.6129439999999999,no,2617.0,0.0,0.225714918,0.3959825528007346,4.688505477308294,0.08445816150098029
1100,ENST00000260386,ENSG00000137825.10,ITPKA,SG,TOT,OK,2.05917,3.2897300000000005,-0.675906,1.9536900000000001,0.00115,0.00965095,yes,1825.0,1.0,0.828378034,0.18908815426997244,2.574123630672927,0.07345729319944942
1101,ENST00000260402,ENSG00000137841.11,PLCB2,SG,TOT,OK,2.70066,2.0431,0.402548,-0.671041,0.21835,0.496619,no,4627.0,2.0,0.461529092,0.2479944903581267,1.5986697965571204,0.15512552429038517
1102,ENST00000260403,ENSG00000137842.6,TMEM62,SG,TOT,OK,1.44603,2.83669,-0.972115,1.936,0.0014,0.0114843,yes,2707.0,0.0,0.345511959,0.13278512396694214,2.219632237871674,0.05982302910425605
1103,ENST00000260443,ENSG00000137876.9,RSL24D1,SG,TOT,OK,6.10102,26.5003,-2.11889,9.20115,5e-05,0.000542289,yes,1889.0,1.0,0.089718429,0.5602405876951332,20.735758998435053,0.02701808926972073
1104,ENST00000260453,ENSG00000138587.5,MNS1,SG,TOT,OK,2.7738,2.52687,0.13451400000000002,-0.394813,0.49325,0.703802,no,2030.0,0.0,0.655534514,0.2547107438016529,1.977206572769953,0.12882353685726308
1105,ENST00000260502,ENSG00000137936.17,BCAR3,SG,TOT,OK,43.6665,22.1072,0.9820110000000001,-4.56574,5e-05,0.000542289,yes,3229.0,1.0,0.638705126,4.009779614325069,17.29827856025039,0.23180223398293037
1106,ENST00000260526,ENSG00000137962.12,ARHGAP29,SG,TOT,OK,71.8488,24.3342,1.56198,-6.44174,5e-05,0.000542289,yes,8952.0,3.0,0.621214443,6.597685950413222,19.040845070422534,0.34650174012821866
1107,ENST00000260563,ENSG00000137996.12,RTCA,SG,TOT,OK,5.11024,7.05007,-0.464246,1.14632,0.04885,0.22903400000000002,no,1534.0,1.0,0.105890257,0.4692598714416896,5.516486697965571,0.08506498739763993
1108,ENST00000260599,ENSG00000138030.12,KHK,SG,TOT,OK,0.766181,1.25366,-0.710395,1.21013,0.04145,0.202303,no,2411.0,1.0,0.410139395,0.07035638200183654,0.9809546165884194,0.07172236188308401
1109,ENST00000260605,ENSG00000138036.18,DYNC2LI1,SG,TOT,OK,1.1163,1.6899099999999998,-0.598217,0.562634,0.34425,0.593789,no,1399.0,1.0,0.115189702,0.1025068870523416,1.3223082942097024,0.0775211707445323
1110,ENST00000260641,ENSG00000138071.13,ACTR2,SG,TOT,OK,11.7328,22.7252,-0.953744,3.9764800000000005,5e-05,0.000542289,yes,3783.0,3.0,0.204795016,1.0773921028466482,17.781846635367764,0.060589438484062466
1111,ENST00000260643,ENSG00000138073.13,PREB,SG,TOT,OK,29.5742,34.4518,-0.220241,1.00139,0.07985,0.327046,no,2127.0,0.0,0.114350578,2.715720844811754,26.957589984350545,0.10074049076302027
1112,ENST00000260665,ENSG00000138095.18,LRPPRC,SG,TOT,OK,106.085,38.5368,1.46091,-6.590389999999999,5e-05,0.000542289,yes,6603.0,0.0,0.062257873,9.741505968778695,30.153990610328638,0.3230585992635396
1113,ENST00000260702,ENSG00000138131.3,LOXL4,SG,TOT,OK,33.6962,34.9061,-0.050893400000000005,0.244863,0.66775,0.815448,no,3597.0,2.0,0.534380271,3.0942332415059686,27.31306729264476,0.11328765123129274
1114,ENST00000260731,ENSG00000138160.5,KIF11,SG,TOT,OK,42.3327,32.4334,0.384293,-1.8586599999999998,0.0007,0.00619438,yes,5016.0,1.0,0.302973792,3.887300275482094,25.37824726134585,0.15317449764952537
1115,ENST00000260746,ENSG00000138175.8,ARL3,SG,TOT,OK,1.97025,5.368609999999999,-1.4461700000000002,5.86742,5e-05,0.000542289,yes,3834.0,1.0,0.25315174,0.1809228650137741,4.2007902973395925,0.04306876854299406
1116,ENST00000260753,ENSG00000138182.14,KIF20B,SG,TOT,OK,15.0843,10.0878,0.58043,-2.3704,5e-05,0.000542289,yes,6306.0,4.0,0.554605108,1.3851515151515152,7.893427230046948,0.17548163488209884
1117,ENST00000260762,ENSG00000138190.16,EXOC6,SG,TOT,OK,4.1715,4.098,0.025644999999999998,-0.09687280000000001,0.86865,0.9252239999999999,no,3564.0,1.0,0.150132072,0.3830578512396694,3.2065727699530515,0.11946020836610481
1118,ENST00000260803,ENSG00000138231.12,DBR1,SG,TOT,OK,11.2782,9.61177,0.230659,-1.03301,0.06745,0.290095,no,2662.0,3.0,0.565229511,1.03564738292011,7.5209467918622845,0.13770172979294143
1119,ENST00000260810,ENSG00000163781.13,TOPBP1,SG,TOT,OK,62.4247,22.7221,1.45802,-5.61214,5e-05,0.000542289,yes,5761.0,3.0,0.275435233,5.732295684113866,17.77942097026604,0.3224118318420181
1120,ENST00000260818,ENSG00000138246.16,DNAJC13,SG,TOT,OK,49.8157,10.9074,2.19129,-10.3726,5e-05,0.000542289,yes,7754.0,1.0,0.224064205,4.5744444444444445,8.534741784037559,0.5359792434494013
1121,ENST00000260843,ENSG00000138271.5,GPR87,SG,TOT,OK,4.6660699999999995,7.7474,-0.7315020000000001,1.51604,0.0146,0.0873538,no,1493.0,0.0,0.421365036,0.4284729109274563,6.062128325508607,0.07068027727563947
1122,ENST00000260952,ENSG00000138381.9,ASNSD1,SG,TOT,OK,17.3215,22.5119,-0.37811999999999996,1.49617,0.01075,0.06758610000000001,no,2411.0,2.0,0.7067893,1.5905876951331497,17.614945226917058,0.0902976236737088
1123,ENST00000260956,ENSG00000138385.15,SSB,SG,TOT,OK,16.5322,30.8306,-0.899084,3.35985,5e-05,0.000542289,yes,1650.0,1.0,0.406076623,1.5181083562901743,24.124100156494524,0.06292911845176034
1124,ENST00000261015,ENSG00000138442.9,WDR12,SG,TOT,OK,5.71995,5.421530000000001,0.0773029,-0.324405,0.57715,0.7597619999999999,no,8068.0,1.0,0.108508026,0.5252479338842975,4.242198748043819,0.12381502260508234
1125,ENST00000261023,ENSG00000138448.11,ITGAV,SG,TOT,OK,49.1893,26.0481,0.917167,-3.5064,5e-05,0.000542289,yes,7039.0,1.0,0.06276106,4.51692378328742,20.381924882629107,0.22161419047997064
1126,ENST00000261024,ENSG00000138449.10,SLC40A1,SG,TOT,OK,3.3466699999999996,3.33397,0.00548578,-0.021733000000000002,0.9695,0.977879,no,3330.0,2.0,0.09104836,0.3073158861340679,2.6087402190923314,0.11780241048339932
1127,ENST00000261034,ENSG00000138459.8,SLC35A5,SG,TOT,OK,5.69937,6.0911800000000005,-0.0959194,0.169298,0.7616,0.870268,no,2444.0,4.0,0.435456643,0.5233581267217631,4.766181533646322,0.10980658689291947
1128,ENST00000261070,ENSG00000138495.6,COX17,SG,TOT,OK,0.9125129999999999,10.4795,-3.5215699999999996,4.22211,5e-05,0.000542289,yes,426.0,0.0,0.164379841,0.08379366391184571,8.199921752738653,0.010218837013153188
1129,ENST00000261167,ENSG00000084463.7,WBP11,SG,TOT,OK,24.5773,23.8146,0.0454791,-0.20618499999999998,0.71715,0.844504,no,4581.0,0.0,0.195704789,2.2568686868686867,18.634272300469483,0.12111386216095091
1130,ENST00000261178,ENSG00000029153.14,ARNTL2,SG,TOT,OK,10.0021,10.7712,-0.106878,0.206727,0.71435,0.8430200000000001,no,1843.0,1.0,0.120652052,0.9184664830119376,8.428169014084506,0.10897580263009286
1131,ENST00000261191,ENSG00000064102.14,INTS13,SG,TOT,OK,12.4951,16.7251,-0.420655,1.82034,0.00195,0.015416,yes,2634.0,3.0,,1.1473921028466483,13.086932707355244,0.08767463916138118
1132,ENST00000261196,ENSG00000111700.12,SLCO1B3,SG,TOT,OK,3.049,4.26236,-0.48331599999999997,1.25397,0.03635,0.182812,no,2840.0,1.0,0.409044972,0.2799816345270891,3.3351799687010955,0.08394798396325506
1133,ENST00000261203,ENSG00000111052.7,LIN7A,SG,TOT,OK,0.6119760000000001,1.97812,-1.69259,1.6706299999999998,0.01525,0.09057280000000001,no,989.0,0.0,0.178973501,0.05619614325068871,1.5478247261345854,0.03630652896405687
1134,ENST00000261206,ENSG00000111058.7,ACSS3,SG,TOT,OK,1.23484,1.12991,0.128118,-0.22988899999999998,0.6816,0.823527,no,2666.0,0.0,0.033936892,0.11339210284664829,0.8841236306729264,0.12825367280404326
1135,ENST00000261211,ENSG00000059758.7,CDK17,SG,TOT,OK,6.7495899999999995,4.7057400000000005,0.520378,-1.4623,0.01365,0.0826366,no,4036.0,1.0,0.303290644,0.6197970615243342,3.6821126760563385,0.16832647885945654
1136,ENST00000261234,ENSG00000118600.11,RXYLT1,SG,TOT,OK,9.31759,9.1171,0.0313817,-0.0798263,0.888,0.934204,no,1854.0,1.0,,0.8556097337006426,7.133881064162755,0.11993608051567069
1137,ENST00000261254,ENSG00000118971.7,CCND2,SG,TOT,OK,87.4185,46.4268,0.9129799999999999,-4.09092,5e-05,0.000542289,yes,6493.0,2.0,0.118663506,8.027410468319559,36.32769953051643,0.22097216647523404
1138,ENST00000261263,ENSG00000080371.5,RAB21,SG,TOT,OK,2.8767099999999997,1.7493900000000002,0.717568,-2.8737,5e-05,0.000542289,yes,15558.0,2.0,0.324070217,0.2641606978879706,1.3688497652582161,0.19298005127548823
1139,ENST00000261296,ENSG00000088451.10,TGDS,SG,TOT,OK,5.0423,7.90378,-0.64846,2.4853099999999997,5e-05,0.000542289,yes,1797.0,1.0,0.075952041,0.46302112029384757,6.184491392801252,0.07486810004017536
1140,ENST00000261304,ENSG00000054983.16,GALC,SG,TOT,OK,6.190930000000001,3.53131,0.809955,-2.62922,5e-05,0.000542289,yes,3794.0,0.0,0.107220206,0.5684967860422406,2.7631533646322377,0.20574203130339266
1141,ENST00000261308,ENSG00000113593.11,PPWD1,SG,TOT,OK,9.02116,11.4437,-0.343163,1.19964,0.0373,0.186404,no,2109.0,2.0,0.42411383,0.8283893480257116,8.954381846635368,0.09251217585019351
1142,ENST00000261313,ENSG00000089220.4,PEBP1,SG,TOT,OK,29.3603,42.965,-0.549296,2.1097599999999996,0.0004,0.00373244,yes,1431.0,1.0,0.182607108,2.6960789715335167,33.6189358372457,0.08019525021808062
1143,ENST00000261326,ENSG00000075643.5,MOCOS,SG,TOT,OK,2.7225,2.54541,0.09703889999999998,-0.40880500000000003,0.47765,0.693276,no,6182.0,1.0,0.390108484,0.25,1.991713615023474,0.12552005374379768
1144,ENST00000261353,ENSG00000119801.12,YPEL5,SG,TOT,OK,2.43055,7.47225,-1.62026,3.75979,5e-05,0.000542289,yes,2136.0,1.0,0.276861644,0.22319100091827365,5.846830985915493,0.03817298660691943
1145,ENST00000261366,ENSG00000113368.11,LMNB1,SG,TOT,OK,120.676,58.7241,1.03911,-3.89868,5e-05,0.000542289,yes,2890.0,1.0,0.24702257,11.081359044995407,45.949999999999996,0.24116124145800671
1146,ENST00000261396,ENSG00000069248.11,NUP133,SG,TOT,OK,18.5955,12.2336,0.604105,-2.83702,5e-05,0.000542289,yes,5208.0,1.0,0.040928784,1.7075757575757575,9.572456964006259,0.1783842710389271
1147,ENST00000261401,ENSG00000110880.10,CORO1C,SG,TOT,OK,60.8582,34.6649,0.811976,-3.02678,5e-05,0.000542289,yes,3814.0,1.0,0.396420477,5.588448117539026,27.124334898278562,0.20603078890217122
1148,ENST00000261402,ENSG00000074590.13,NUAK1,SG,TOT,OK,40.5951,11.5958,1.8077,-8.53593,5e-05,0.000542289,yes,5744.0,4.0,0.425055745,3.727741046831956,9.07339593114241,0.41084298261881363
1149,ENST00000261407,ENSG00000111684.10,LPCAT3,SG,TOT,OK,10.0577,14.2716,-0.504848,1.10931,0.05495,0.25019600000000003,no,2235.0,2.0,,0.9235720844811753,11.167136150234741,0.08270447069473234
1150,ENST00000261413,ENSG00000113048.16,MRPS27,SG,TOT,OK,8.08112,31.0637,-1.9426,2.29195,0.0028,0.021214700000000003,yes,2770.0,1.0,0.409097594,0.7420679522497704,24.306494522691708,0.030529616335955037
1151,ENST00000261416,ENSG00000049860.13,HEXB,SG,TOT,OK,8.09989,10.4679,-0.36999699999999996,0.261667,0.6089,0.779414,no,1812.0,0.0,0.045721433,0.7437915518824609,8.190845070422535,0.09080766947580557
1152,ENST00000261435,ENSG00000078177.13,N4BP2,SG,TOT,OK,15.9385,5.36324,1.57134,-5.73114,5e-05,0.000542289,yes,9720.0,1.0,0.476883138,1.4635904499540862,4.196588419405321,0.3487572055401813
1153,ENST00000261438,ENSG00000109787.12,KLF3,SG,TOT,OK,9.331719999999999,5.03066,0.891396,-3.9332199999999995,5e-05,0.000542289,yes,5594.0,2.0,0.297944837,0.8569072543617997,3.936353677621283,0.21769061536147943
1154,ENST00000261455,ENSG00000065600.12,TMEM206,SG,TOT,OK,2.34525,3.9334300000000004,-0.746049,1.7023099999999998,0.0091,0.058790800000000004,no,2469.0,0.0,0.42721597,0.21535812672176308,3.0778012519561817,0.06997142085925342
1155,ENST00000261461,ENSG00000066027.11,PPP2R5A,SG,TOT,OK,10.1169,6.687180000000001,0.5973,-2.48673,5e-05,0.000542289,yes,3245.0,2.0,0.211536715,0.9290082644628098,5.232535211267606,0.17754457962601142
1156,ENST00000261464,ENSG00000082512.14,TRAF5,SG,TOT,OK,2.42233,1.6679700000000002,0.538301,-1.07881,0.0733,0.307869,no,3976.0,2.0,0.698689772,0.22243617998163454,1.3051408450704227,0.1704307859353159
1157,ENST00000261475,ENSG00000092020.10,PPP2R3C,SG,TOT,OK,1.61608,5.74211,-1.8290799999999998,2.05134,0.00105,0.00890305,yes,1511.0,1.0,0.28413219,0.14840036730945821,4.4930438184663535,0.033028916099045055
1158,ENST00000261479,ENSG00000100902.10,PSMA6,SG,TOT,OK,6.94335,37.6592,-2.4393,4.25711,5e-05,0.000542289,yes,1023.0,0.0,0.068869721,0.6375895316804407,29.467292644757432,0.02163719413815491
1159,ENST00000261483,ENSG00000112893.9,MAN2A1,SG,TOT,OK,35.9736,15.5056,1.2141600000000001,-5.1757,5e-05,0.000542289,yes,6553.0,6.0,0.145822226,3.3033608815426994,12.132707355242566,0.27226906450647315
1160,ENST00000261497,ENSG00000124422.11,USP22,SG,TOT,OK,174.68099999999998,84.5393,1.04703,-3.5627400000000002,5e-05,0.000542289,yes,5189.0,1.0,0.171498959,16.04049586776859,66.14968701095461,0.24248785735164902
1161,ENST00000261499,ENSG00000108641.15,B9D1,SG,TOT,OK,1.37083,7.580939999999999,-2.46732,2.30337,0.006,0.04112380000000001,yes,1031.0,0.0,0.134045034,0.1258797061524334,5.9318779342723,0.02122088612531031
1162,ENST00000261507,ENSG00000052802.12,MSMO1,SG,TOT,OK,9.00568,24.0568,-1.41754,5.5513,5e-05,0.000542289,yes,2227.0,1.0,0.223586957,0.8269678604224058,18.823787167449137,0.04393206601126645
1163,ENST00000261520,ENSG00000128915.11,ICE2,SG,TOT,OK,1.63452,2.3469900000000004,-0.521944,0.6872659999999999,0.22785,0.503232,no,7206.0,5.0,,0.15009366391184573,1.836455399061033,0.08173008938228915
1164,ENST00000261531,ENSG00000100603.13,SNW1,SG,TOT,OK,24.8617,33.2235,-0.418282,1.56474,0.00605,0.0414256,yes,2129.0,2.0,0.506112151,2.2829843893480257,25.996478873239436,0.08781898504332106
1165,ENST00000261534,ENSG00000009830.11,POMT2,SG,TOT,OK,10.7127,7.578930000000001,0.499255,-1.6610599999999998,0.0049,0.0345304,yes,4875.0,2.0,0.272009743,0.9837190082644628,5.9303051643192495,0.1658799979102569
1166,ENST00000261537,ENSG00000101752.11,MIB1,SG,TOT,OK,17.0468,4.95873,1.7814599999999998,-7.311489999999999,5e-05,0.000542289,yes,10100.0,1.0,0.075580808,1.5653627180899907,3.880070422535211,0.40343667707639014
1167,ENST00000261556,ENSG00000070269.13,TMEM260,SG,TOT,OK,2.0531599999999997,1.1197,0.874732,-2.24857,0.00015,0.0015171,yes,4259.0,0.0,0.481476727,0.18853627180899904,0.8761345852895148,0.21519099345530124
